region,currency,monthly_price,annual_price,first_month_intro_price
IN,INR,199,1499,49
US,USD,7.99,59.99,0.99
CA,CAD,9.99,74.99,1.49
GB,GBP,5.99,44.99,0.99
AT,EUR,6.99,49.99,0.99
BE,EUR,6.99,49.99,0.99
CY,EUR,6.99,49.99,0.99
EE,EUR,6.99,49.99,0.99
FI,EUR,6.99,49.99,0.99
FR,EUR,6.99,49.99,0.99
DE,EUR,6.99,49.99,0.99
GR,EUR,6.99,49.99,0.99
IE,EUR,6.99,49.99,0.99
IT,EUR,6.99,49.99,0.99
LV,EUR,6.99,49.99,0.99
LT,EUR,6.99,49.99,0.99
LU,EUR,6.99,49.99,0.99
MT,EUR,6.99,49.99,0.99
NL,EUR,6.99,49.99,0.99
PT,EUR,6.99,49.99,0.99
SK,EUR,6.99,49.99,0.99
SI,EUR,6.99,49.99,0.99
ES,EUR,6.99,49.99,0.99
CH,CHF,6.99,49.99,0.99
NO,NOK,79,599,9
SE,SEK,79,599,9
DK,DKK,49,369,7
PL,PLN,24.99,179.99,4.99
CZ,CZK,149,1099,29
HU,HUF,2290,16990,490
RO,RON,29.99,219.99,4.99
AU,AUD,10.99,79.99,1.49
NZ,NZD,11.99,89.99,1.99
JP,JPY,900,6800,150
KR,KRW,8900,66000,1500
SG,SGD,8.99,64.99,1.49
BR,BRL,19.90,149.90,4.90
MX,MXN,79,599,19
CL,CLP,3990,29900,790
CO,COP,15900,119900,2900
PE,PEN,14.90,109.90,2.90
ID,IDR,49000,349000,9000
PH,PHP,149,1099,29
MY,MYR,14.90,109.90,2.90
TH,THB,149,1090,29
VN,VND,79000,599000,19000
ZA,ZAR,69.99,499.99,14.99
NG,NGN,1500,10900,300
EG,EGP,79.99,599.99,14.99
KE,KES,299,2199,49
GH,GHS,19.99,149.99,3.99
AE,AED,24.99,179.99,4.99
SA,SAR,24.99,179.99,4.99
